"product,status,alternative"
"Coca-Cola,Boycott,Jus Vital"
"Pepsi,Boycott,Jus Boga"
"Nestle,Boycott,Délice"
"Danone,Boycott,Saida"
"Nescafe,Boycott,Café Ben Yedder"
"KitKat,Boycott,Saida Chocolat"
"Maggi,Boycott,Safia"
"Lipton,Boycott,Thé 999"
"Nido,Boycott,Délice Lait"
"Nestea,Boycott,Boga Ice Tea"
"Heinz,Boycott,El Mazraa"
"Kelloggs,Boycott,Chamia"
"Ariel,Boycott,Savon Azur"
"Gillette,Boycott,Azur"
"Colgate,Boycott,Safia Dent"
"Pampers,Boycott,Babyland"
"Always,Boycott,Sanita"
"Oreo,Boycott,Saida Biscuit"
"Pringles,Boycott,Chamia Chips"
"Snickers,Boycott,Saida Chocolat"
"Mars,Boycott,Saida Chocolat"
"Twix,Boycott,Saida Chocolat"
"Nivea,Boycott,Azur"
"Dove,Boycott,Azur"
"Pantene,Boycott,Herbes Tunisie"
"Head&Shoulders,Boycott,Herbal Care"
"Clear,Boycott,Herbal Care"
"Tide,Boycott,Safia"
"Fairy,Boycott,El Mazraa"
"Persil,Boycott,Azur"
"Bref,Boycott,Azur"
"Haribo,Boycott,Chamia Bonbon"
"Kinder,Boycott,Saida Chocolat"
"Nutella,Boycott,Chamia Pâte"
"Ferrero,Boycott,Saida Chocolat"
"Milka,Boycott,Saida Chocolat"
"RedBull,Boycott,Boga Energy"
"Monster,Boycott,Boga Energy"
"Sprite,Boycott,Boga"
"Fanta,Boycott,Boga"
"7Up,Boycott,Boga"
"Schweppes,Boycott,Boga"
"Powerade,Boycott,Boga Sport"
"Aquafina,Boycott,Sabrine"
"Evian,Boycott,Sabrine"
"Volvic,Boycott,Sabrine"
"Lays,Boycott,Chamia Chips"
"Doritos,Boycott,Chamia Chips"
"Cheetos,Boycott,Chamia Chips"
"Ben&Jerrys,Boycott,Delice Glace"
"HaagenDazs,Boycott,Délice Glace"
"Activia,Boycott,Saida"
"Actimel,Boycott,Délice"
"Yakult,Boycott,Délice"
"Nespresso,Boycott,Café Ben Yedder"
"Lavazza,Boycott,Café Ben Yedder"
"Jacobs,Boycott,Café Ben Yedder"
"Starbucks,Boycott,Café Moka"
"McDonalds,Boycott,Local Fast Food"
"KFC,Boycott,Local Fried Chicken"
"BurgerKing,Boycott,Local Burger"
"PizzaHut,Boycott,Local Pizzeria"
"Dominos,Boycott,Local Pizzeria"
"Subway,Boycott,Local Sandwich"
"Carrefour,Boycott,Monoprix Tunisie"
"Auchan,Boycott,Magasin Général"
"Lidl,Boycott,Monoprix"
"Aldi,Boycott,Magasin Général"
"Zara,Boycott,Artisanat Tunisien"
"H&M,Boycott,Friperie Locale"
"Nike,Boycott,Artisanat Sport"
"Adidas,Boycott,Artisanat Sport"
"Puma,Boycott,Artisanat Sport"
"Apple,Boycott,Condor"
"Samsung,Boycott,Condor"
"Sony,Boycott,Stream"
"LG,Boycott,Stream"
"HP,Boycott,Focus"
"Dell,Boycott,Focus"
"Lenovo,Boycott,Focus"
"Asus,Boycott,Stream"
"Acer,Boycott,Stream"
"Logitech,Boycott,Trust"
"Microsoft,Boycott,Focus"
"Google,Boycott,Local Software"
"Facebook,Boycott,Local Media"
"Instagram,Boycott,Local Media"
"WhatsApp,Boycott,Local Chat"
"Zoom,Boycott,Local Video"
"Netflix,Boycott,Local TV"
"Amazon,Boycott,Jumia"
"AliExpress,Boycott,Jumia"
"Uber,Boycott,Taxi Tunisie"
"Careem,Boycott,Taxi Tunisie"
"Airbnb,Boycott,Hotel Local"
"Booking,Boycott,Hotel Local"
"TripAdvisor,Boycott,Guide Local"
"Spotify,Boycott,Radio IFM"
"Deezer,Boycott,Radio Mosaique"
"YouTube,Boycott,Local TV"
"TikTok,Boycott,Local Media"
"Visa,Ok,-"
"MasterCard,Ok,-"
"Orange,Ok,-"
"Ooredoo,Ok,-"
"TunisieTelecom,Ok,-"
"Boga,Ok,-"
"Délice,Ok,-"
"Saida,Ok,-"
"Sabrine,Ok,-"
"Chamia,Ok,-"
"Vitalait,Ok,-"
"Aziza,Ok,-"
"Monoprix,Ok,-"
"Magasin Général,Ok,-"
"Carrefour Market Tunisie,Ok,-"
"Pharmacie Centrale,Ok,-"
"Hannibal TV,Ok,-"
"Mosaique FM,Ok,-"
"IFM,Ok,-"
"Express FM,Ok,-"
